model_name,RL1,RL2,L2RE,MaxE,MSE,RMSE
GA_Tanh_0.1_8_256_MLP_1,0.21095343767942046,0.2816394902215991,0.8553142216882823,0.22485724634203705,0.008142902609508723,0.029984994532965478
PINNs_Tanh_0.1_8_256_MLP_1,0.21121548148593228,0.2703133449607971,1.612536833946795,0.17137985430319885,0.007501137300671848,0.030022241530180058
DFVM_Tanh_0.1_8_256_MLP_1,0.45036707300514933,0.47962421730641924,692.459371350207,0.3007235910328933,0.02361534792638132,0.06401533139464204
MIX_all_Tanh_0.1_8_256_MLP_1,0.12173171088455399,0.12051240419697175,0.7670392616543114,0.14349265953071744,0.0014909244699866033,0.017302987453131097
MIX_region_Tanh_0.1_8_256_MLP_1,0.04309935282396955,0.0896044380615737,0.7452094446142891,0.13769584341675548,0.0008242352473536562,0.006126156904657784
GA_Tanh_0.1_8_256_ResNet_1,0.21022505491612511,0.24505160299403117,0.8901550362760651,0.19920069888196296,0.006164633145374901,0.029881461955276425
MIX_all_Tanh_0.1_8_256_ResNet_1,0.0636157281687773,0.11896273362645217,0.752372385741766,0.149051769403335,0.0014528273663910883,0.00904236158621032
MIX_region_Tanh_0.1_8_256_ResNet_1,0.04409694936337368,0.10303528450680383,0.7459257951138007,0.14178218798038772,0.0010898433805493627,0.006267955621517739
GA_Tanh_0.1_8_256_ResNet_QMC,0.2711705861042825,0.21868811959613263,0.84774353639313,0.19491855104651873,0.00490955943613388,0.03854428081989572
MIX_all_Tanh_0.1_8_256_ResNet_QMC,0.057584652376871846,0.10147302067409698,0.752425283717923,0.14089117121159445,0.0010570446171621897,0.008185102388931895
MIX_region_Tanh_0.1_8_256_ResNet_QMC,0.07934699827946685,0.12053489232277698,0.7566067992646847,0.1541778978501389,0.001491480947562719,0.01127840975615037
GA_Tanh_0.1_8_512_ResNet_QMC,0.19152778368641687,0.26055960614687895,0.9812341062738186,0.24313388624241156,0.006969575380970917,0.027223825361289467
MIX_region_Tanh_0.1_8_512_ResNet_QMC,0.03019560743474511,0.11215249953962343,0.8117470414340089,0.17160448454065905,0.0012912491711230183,0.00429201407576176
GA_Tanh_0.1_10_256_ResNet_QMC,0.13651358090229768,0.22551924414631105,1.1148784396014564,0.2587244973338818,0.0052210680777124464,0.01940408756576648
MIX_region_Tanh_0.1_10_256_ResNet_QMC,0.1346015529409129,0.14348170501773422,0.7745972623861335,0.1705448065489067,0.0021134170128283797,0.019132311250577315
MIX_region_Tanh_0.15_10_256_ResNet_QMC,0.07517615099807515,0.12173952431925995,0.765240399096264,0.16388435352592567,0.0015214417949473654,0.010685564082213456
MIX_region_Tanh_0.2_10_256_ResNet_QMC,0.11318733055662972,0.16846251721436553,0.8890621309481967,0.15740619045837823,0.002913390588824475,0.016088486280556077
MIX_region_Tanh_0.05_10_256_ResNet_QMC,0.055119113446166317,0.09395508902523879,0.7510902065227446,0.15462810379674838,0.0009062181544957034,0.00783464983328136
GA_2_1.5_Tanh_0.1_8_512_ResNet_QMC,0.44408372955202013,0.34616319023711933,2.335762720481803,0.23522163126557252,0.01230138216325703,0.0631222147848187
